Concept family,Condition A,Condition B,Comparison,SA vs. Non-SA
Within-peer valence,Nice feedback from Predictable Nice,Mean feedback from Predictable Nice,Nice feedback from Predictable Nice vs. Mean feedback from Predictable Nice,Compare pattern similarity for Nice feedback from Predictable Nice vs. Mean feedback from Predictable Nice between SA and Non-SA
Within-peer valence,Nice feedback from Predictable Mean,Mean feedback from Predictable Mean,Nice feedback from Predictable Mean vs. Mean feedback from Predictable Mean,Compare pattern similarity for Nice feedback from Predictable Mean vs. Mean feedback from Predictable Mean between SA and Non-SA
Within-peer valence,Nice feedback from Unpredictable,Mean feedback from Unpredictable,Nice feedback from Unpredictable vs. Mean feedback from Unpredictable,Compare pattern similarity for Nice feedback from Unpredictable vs. Mean feedback from Unpredictable between SA and Non-SA
Predictable reputation (valence-controlled),Nice feedback from Predictable Nice,Nice feedback from Predictable Mean,Nice feedback from Predictable Nice vs. Nice feedback from Predictable Mean,Compare pattern similarity for Nice feedback from Predictable Nice vs. Nice feedback from Predictable Mean between SA and Non-SA
Predictable reputation (valence-controlled),Mean feedback from Predictable Nice,Mean feedback from Predictable Mean,Mean feedback from Predictable Nice vs. Mean feedback from Predictable Mean,Compare pattern similarity for Mean feedback from Predictable Nice vs. Mean feedback from Predictable Mean between SA and Non-SA
Predictable valence totals,Total Nice (Predictable),Total Mean (Predictable),Total Nice (Predictable) vs. Total Mean (Predictable),Compare pattern similarity for Total Nice (Predictable) vs. Total Mean (Predictable) between SA and Non-SA
Global valence totals,Total Nice (All peers),Total Mean (All peers),Total Nice (All peers) vs. Total Mean (All peers),Compare pattern similarity for Total Nice (All peers) vs. Total Mean (All peers) between SA and Non-SA
Global predictability totals,Total Predictable (All feedback),Total Unpredictable (All feedback),Total Predictable (All feedback) vs. Total Unpredictable (All feedback),Compare pattern similarity for Total Predictable (All feedback) vs. Total Unpredictable (All feedback) between SA and Non-SA
Peer-level RSA,"Peer-averaged neural patterns for 4 peers (Nice-Predictable, Mean-Predictable,
 Nice-Unpredictable, Mean-Unpredictable). Averaged across 32 trials each -> Brain RDM (4x4 dissimilarities).","Disposition model RDM (clusters peers by valence: Nice peers more similar,
 Mean peers more similar).",Brain RDM vs. Disposition model — tests whether neural similarity reflects valence grouping.,Compare alignment (Brain–Disposition correlation) between SA and Non-SA groups.
Peer-level RSA,"Peer-averaged neural patterns for 4 peers (Nice-Predictable, Mean-Predictable, 
Nice-Unpredictable, Mean-Unpredictable). Averaged across 32 trials each -> Brain RDM (4x4 dissimilarities).","Predictability model RDM (clusters peers by predictability: Predictable peers more similar,
 Unpredictable peers more similar).",Brain RDM vs. Predictability model — tests whether neural similarity reflects predictability grouping.,Compare alignment (Brain–Predictability correlation) between SA and Non-SA groups.
Peer-level RSA,"Peer-averaged neural patterns for 4 peers (Nice-Predictable, Mean-Predictable, 
Nice-Unpredictable, Mean-Unpredictable). Averaged across 32 trials each -> Brain RDM (4x4 dissimilarities).","Negativity model RDM (asymmetric weighting: Mean peers more dissimilar from Nice peers, 
reflecting negativity bias).",Brain RDM vs. Negativity model — tests whether neural similarity reflects stronger separation for Mean peers.,Compare alignment (Brain–Negativity correlation) between SA and Non-SA groups.